CT1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filial;Cod Conta;Desc Moeda 1;Classe Conta;Cond Normal;Cod Reduzido;Cta Bloq;Dt Ini Bloq;Dt Fim Bloq;Dig Controle;Conv M2 Deb;Conv M3 Deb;Conv M4 Deb;Conv M5 Deb;Conv M2 Crd;Conv M3 Crd;Conv M4 Crd;Conv M5 Crd;Cta Superior;Hist Padrao;Aceita Item;Aceita CC;Aceita CLVL;Dt Ini Exist;Var Monet;Dt Fim Exist;Red Variacao;Lucr/Perd;Ponte LP;Conf. Livros;Grupo;Regra Nivel1;Regra Nivel2;Regra Nivel3;CC Obrigat.;Item Obrig.;CLVL Obrig.;Conta Lalur;Ajuste Conv;Class.Lalur;Hist.Lalur ?;Tipo Lalur;Cod. Rateio;Nat. Conta;Ac.Outra At?;Outr.At.Ob?;Class. Manad;SPED Sint.;Nat Cta SPED;Ativ.01 Ac.;Ativ.01 Ob.;Ativ.02 Ac.;Ativ.02 Ob.;Ativ.03 Ac.;Ativ.03 Ob.;Ativ.04 Ac.;Ativ.04 Ob.;Int. PIMS;Var Cambial?;Conta Orc.;Aceita Ent05;Obrg.Ent.05?
01;111101007;FUNDO FIXO - DEPARTAMENTO COMPRAS;Analitica;Devedora;0341102003;Nao Bloqueada;  /  /    ;  /  /    ;2;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111101;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111101007;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Não;;;Sim;Nao
01;111101008;FUNDO FIXO - RESTAURANTE SEDE;Analitica;Devedora;0341102003;Nao Bloqueada;  /  /    ;  /  /    ;0;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111101;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111101008;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Não;;;Sim;Nao
01;111101009;FUNDO FIXO - PRESIDENCIA;Analitica;Devedora;111101009;Nao Bloqueada;  /  /    ;  /  /    ;9;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111101;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111101009;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111101010;CAIXA MUSEU;Analitica;Devedora;111101010;Nao Bloqueada;  /  /    ;  /  /    ;2;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111101;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Nao;Nao;Nao;111101010;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;1111011009;FUNDO FIXO - CARTAO VIAGEM;Analitica;Devedora;0341102003;Nao Bloqueada;  /  /    ;  /  /    ;3;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111101;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;1111011009;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;1111011010;FUNDO FIXO - CARTAO VIAGEM AGILLITAS;Analitica;Devedora;3411020172;Nao Bloqueada;  /  /    ;  /  /    ;0;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111101;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Nao;Nao;Nao;;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;1111011011;FUNDO FIXO - CARTAO VIAGEM AGILLITAS;Analitica;Devedora;3411020191;Nao Bloqueada;  /  /    ;  /  /    ;9;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111101;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Nao;Nao;Nao;;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;1111011012;FUNDO FIXO - CARTAO VIAGEM AGILLITAS;Analitica;Devedora;3411020328;Nao Bloqueada;  /  /    ;  /  /    ;3;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111101;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;;;;Não;Nao pertence;;;Nao;Nao;;;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;111102;BANCO CONTA MOVIMENTO;Sintetica;Devedora;;Nao Bloqueada;  /  /    ;  /  /    ;0;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;1111;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102001;BRADESCO - C/C Nº 000.2900-9;Analitica;Devedora;111102001;Nao Bloqueada;  /  /    ;  /  /    ;9;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102001;;;Não;Nao pertence;;Conta de Ativo;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
